customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000001,Female,0,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,100.44,6266.86,No
C00000002,Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,106.72,2982.39,No
C00000003,Female,0,No,No,60,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),66.26,3878.44,No
C00000004,Female,0,Yes,No,25,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,56.8,1416.86,No
C00000005,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,18.0,504.64,Yes
C00000006,Male,1,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),92.74,1113.28,No
C00000007,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),85.79,3553.41,No
C00000008,Female,0,Yes,No,6,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,38.92,414.2,No
C00000009,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.98,1531.58,Yes
C00000010,Male,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,1293.74,No
C00000011,Female,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),110.85,3302.04,No
C00000012,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,90.94,6069.55,No
C00000013,Female,0,No,No,57,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.37,5098.7,Yes
C00000014,Female,0,No,Yes,54,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),109.13,5840.96,No
C00000015,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),46.9,267.06,No
C00000016,Female,0,Yes,No,36,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.44,1837.55,Yes
C00000017,Male,0,Yes,Yes,43,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),131.89,5488.94,No
C00000018,Male,0,No,Yes,5,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,68.33,570.74,Yes
C00000019,Male,1,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,93.0,2656.41,No
C00000020,Female,0,No,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,41.89,651.79,No
C00000021,Male,1,Yes,No,7,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.09,427.74,No
C00000022,Female,0,Yes,No,23,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,18.0,435.31,No
C00000023,Male,0,Yes,Yes,38,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),57.39,1921.78,Yes
C00000024,Male,1,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,96.58,4762.47,No
C00000025,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.58,5524.14,No
C00000026,Male,0,No,No,25,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.45,1503.1,No
C00000027,Male,0,No,No,9,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.2,288.15,Yes
C00000028,Male,0,No,Yes,57,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,101.35,5529.61,Yes
C00000029,Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,87.7,1150.31,No
C00000030,Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,78.63,5932.62,No
C00000031,Female,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),77.59,5453.97,No
C00000032,Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,79.18,3259.64,No
C00000033,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,44.79,1215.09,No
C00000034,Male,0,No,No,49,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),100.58,5146.03,No
C00000035,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,37.77,1042.03,No
C00000036,Female,0,No,Yes,71,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.14,6574.38,No
C00000037,Male,1,Yes,No,50,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.33,3327.75,No
C00000038,Female,0,No,Yes,14,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.12,935.3,Yes
C00000039,Female,1,Yes,Yes,37,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),129.83,4379.48,No
C00000040,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),142.51,10033.04,No
C00000041,Female,0,No,Yes,71,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,120.94,8503.32,No
C00000042,Female,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,135.24,3004.63,Yes
C00000043,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,81.32,1360.29,Yes
C00000044,Male,0,Yes,Yes,66,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),48.44,3006.08,No
C00000045,Male,0,Yes,No,64,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.75,5730.64,Yes
C00000046,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.05,1008.66,Yes
