feature,importance
Contract_Month-to-month,0.1392656
Contract_Two year,0.06540395
PaperlessBilling_No,0.047147587
MultipleLines_Yes,0.04524137
Contract_One year,0.04405119
PaymentMethod_Mailed check,0.04232109
gender_Male,0.037674244
PaymentMethod_Electronic check,0.036272
OnlineSecurity_Yes,0.029583689
PaymentMethod_Credit card (automatic),0.024900217
Dependents_No,0.024828028
Partner_Yes,0.024102258
PaymentMethod_Bank transfer (automatic),0.0233318
Dependents_Yes,0.022677517
TechSupport_No,0.022508226
Partner_No,0.02178812
MultipleLines_No,0.021632545
DeviceProtection_No,0.020902859
OnlineBackup_Yes,0.020425282
InternetService_DSL,0.020115105
StreamingMovies_No,0.018576588
StreamingMovies_Yes,0.017327353
gender_Female,0.017192885
InternetService_Fiber optic,0.016762324
OnlineSecurity_No,0.015480316
TechSupport_Yes,0.014743076
DeviceProtection_Yes,0.012503196
StreamingTV_No,0.01248293
OnlineBackup_No,0.011015335
StreamingTV_Yes,0.010541805
PaperlessBilling_Yes,0.01037149
customerID_C00003997,0.005839964
customerID_C00005912,0.005014786
customerID_C00000632,0.004768212
MonthlyCharges,0.004678354
customerID_C00003722,0.004331649
customerID_C00001522,0.0042790477
customerID_C00005477,0.00425641
MultipleLines_No phone service,0.0039244876
tenure,0.0039133574
TotalCharges,0.0038528554
PhoneService_No,0.003773942
InternetService_No,0.003233912
customerID_C00001133,0.0031925126
SeniorCitizen,0.0030465266
PhoneService_Yes,0.0030088935
customerID_C00002439,0.0029168292
customerID_C00004432,0.0028352006
customerID_C00001916,0.0026981297
customerID_C00002208,0.0026403628
customerID_C00005218,0.0025630882
customerID_C00000446,0.002462746
customerID_C00004485,0.0024472568
customerID_C00005705,0.0022785277
customerID_C00002201,0.0021151653
customerID_C00002879,0.0019862107
customerID_C00001156,0.0019703582
customerID_C00003268,0.0018922883
customerID_C00001854,0.0018694161
customerID_C00002117,0.001856722
customerID_C00001619,0.0018547977
customerID_C00003812,0.0018151146
customerID_C00005238,0.0017846157
customerID_C00000655,0.0017604835
customerID_C00002518,0.0017383202
customerID_C00000536,0.0016391102
customerID_C00006459,0.0015914676
customerID_C00002893,0.0015393737
customerID_C00001489,0.0014595186
customerID_C00000061,0.0
customerID_C00000062,0.0
customerID_C00000063,0.0
customerID_C00000064,0.0
customerID_C00000065,0.0
customerID_C00000066,0.0
customerID_C00000067,0.0
customerID_C00000068,0.0
customerID_C00000069,0.0
customerID_C00000070,0.0
customerID_C00000071,0.0
customerID_C00000074,0.0
customerID_C00000075,0.0
customerID_C00000076,0.0
customerID_C00000077,0.0
customerID_C00000078,0.0
customerID_C00000079,0.0
customerID_C00000080,0.0
customerID_C00000081,0.0
customerID_C00000082,0.0
customerID_C00000084,0.0
customerID_C00000085,0.0
customerID_C00000086,0.0
customerID_C00000088,0.0
customerID_C00000089,0.0
customerID_C00000090,0.0
customerID_C00000091,0.0
customerID_C00000092,0.0
customerID_C00000093,0.0
customerID_C00000094,0.0
customerID_C00000095,0.0
customerID_C00000096,0.0
customerID_C00000097,0.0
customerID_C00000098,0.0
customerID_C00000099,0.0
customerID_C00000101,0.0
customerID_C00000102,0.0
customerID_C00000103,0.0
customerID_C00000104,0.0
customerID_C00000105,0.0
customerID_C00000106,0.0
customerID_C00000107,0.0
customerID_C00000108,0.0
customerID_C00000109,0.0
customerID_C00000110,0.0
customerID_C00000111,0.0
customerID_C00000112,0.0
customerID_C00000113,0.0
customerID_C00000114,0.0
customerID_C00000115,0.0
customerID_C00000116,0.0
customerID_C00000117,0.0
customerID_C00000118,0.0
customerID_C00000119,0.0
customerID_C00000121,0.0
customerID_C00000122,0.0
customerID_C00000124,0.0
customerID_C00000125,0.0
customerID_C00000127,0.0
customerID_C00000128,0.0
customerID_C00000129,0.0
customerID_C00000130,0.0
customerID_C00000131,0.0
customerID_C00000132,0.0
customerID_C00000133,0.0
customerID_C00000134,0.0
customerID_C00000135,0.0
customerID_C00000136,0.0
customerID_C00000137,0.0
customerID_C00000138,0.0
customerID_C00000139,0.0
customerID_C00000140,0.0
customerID_C00000142,0.0
customerID_C00000143,0.0
customerID_C00000144,0.0
customerID_C00000145,0.0
customerID_C00000147,0.0
customerID_C00000148,0.0
customerID_C00000151,0.0
customerID_C00000153,0.0
customerID_C00000154,0.0
customerID_C00000155,0.0
customerID_C00000156,0.0
